sample_uid	C1d	C42.2	C1	C1b	C3cg	C115k	C41p	C45c	C1bi	C1au	C3	C42bg	271071_C	3307989_C	C3ld	92599_C	C1j	C42ap	C1ex	C42a	C42b	91494_C	C1c	C1hk	C29a	C42bh	C15h	92447_C	271034_C	C1nr	C42al	C115l	C115d	C1ey	C1az	488_C	C116r	484439_C	C116s	C116ap	60262_C	D1	D1bp	D2d	D1lc	D1n	D1lb	D1ld	867731_D	3307991_D	D2.2	22819_D	3307993_D	13744_D	10933_D	276706_D	3307994_D	3307992_D	D4	D1ay
167205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7587251371453573	0.04997812405344462	0.1267963517652206	0	0.049069430888836536	0	0	0	0	0.008094100225490525	0	0.007336855921650456	0	0	0	0	0	0	0
167211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7680334026309813	0.04622560751908597	0.119372477769431	0	0.05029611642004857	0	0	0	0	0.008525357698153421	0	0.00754703796229975	0	0	0	0	0	0	0
167216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7858846952611435	0.047577364708305446	0.10528122479103376	0	0.043715565624839095	0	0	0	0	0.006453495357259324	0	0.0065393131146696875	0	0	0.004548341142749258	0	0	0	0
167213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7905887538915062	0.04551340331156845	0.09918175055789735	0	0.04627104168388572	0	0	0	0	0.007438631291842301	0	0.0067774196214563185	0	0	0.004228999641843679	0	0	0	0
167215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785981118789311	0.05120126033871603	0.10142384856839366	0	0.042691587000369985	0	0	0	0	0.00699392507190853	0	0.007292300714908041	0	0	0.004415959516392758	0	0	0	0
167214	0.00017354181490030022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7937976155354632	0.04581503913367926	0.09688839525883762	0	0.04383666244381584	0	0	0	0	0.006889610051541919	0	0.00760113149263315	0	0	0.004998004269128647	0	0	0	0
167206	8.50210001870462e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7622982876770562	0.04922715910829975	0.11086738424390824	0	0.05788229692734105	0	0	0	0	0.01095070482409155	0	0.008689146219116121	0	0	0	0	0	0	0
167210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7824399007353501	0.05158107881795899	0.09821414978000396	0	0.046937563753178146	0	0	0	0	0.00809950824414232	0	0.008023385046359027	0	0	0.004704413623007476	0	0	0	0
167209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7727338604486385	0.049598222193594096	0.10765068680655084	0	0.047053897808338296	0	0	0	0	0.010660397107843927	0	0.007520249923509235	0	0	0.004782685711525145	0	0	0	0
167221	6.911327666044647e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7609717326698459	0.07274172368511991	0.009416683944985831	0.0634978229317852	0	0.03189577717879605	0.030306171815605777	0.006099246665284401	0.012803234501347708	0	0.006703987836063308	0	0	0.005494505494505495	0	0	0	0	0
