sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,user_defined_site_name
hk1,hk1_000000000-L2BNB_L1_R1.fastq.gz,hk1_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.7,Haikou
hk2,hk2_000000000-L2BNB_L1_R1.fastq.gz,hk2_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.8,Haikou
hk3,hk3_000000000-L2BNB_L1_R1.fastq.gz,hk3_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.4,Haikou
hk4,hk4_000000000-L2BNB_L1_R1.fastq.gz,hk4_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.1,Haikou
hk5,hk5_000000000-L2BNB_L1_R1.fastq.gz,hk5_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.3,Haikou
hk6,hk6_000000000-L2BNB_L1_R1.fastq.gz,hk6_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,2.1,Haikou
hks1,hks1_000000000-L2BNB_L1_R1.fastq.gz,hks1_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,1.1,Haikou_shallow
hks2,hks2_000000000-L2BNB_L1_R1.fastq.gz,hks2_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,0.8,Haikou_shallow
hks3,hks3_000000000-L2BNB_L1_R1.fastq.gz,hks3_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,1.2,Haikou_shallow
hks4,hks4_000000000-L2BNB_L1_R1.fastq.gz,hks4_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,1,Haikou_shallow
hks5,hks5_000000000-L2BNB_L1_R1.fastq.gz,hks5_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,1,Haikou_shallow
hks6,hks6_000000000-L2BNB_L1_R1.fastq.gz,hks6_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,22.088,120.708,20220316,0.8,Haikou_shallow
ot1,ot1_000000000-L2BNB_L1_R1.fastq.gz,ot1_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,3,Outlet
ot2,ot2_000000000-L2BNB_L1_R1.fastq.gz,ot2_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,3.4,Outlet
ot3,ot3_000000000-L2BNB_L1_R1.fastq.gz,ot3_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,2.8,Outlet
ot4,ot4_000000000-L2BNB_L1_R1.fastq.gz,ot4_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,2.3,Outlet
ot5,ot5_000000000-L2BNB_L1_R1.fastq.gz,ot5_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,2.8,Outlet
ot6,ot6_000000000-L2BNB_L1_R1.fastq.gz,ot6_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.932,120.744,20220316,2.9,Outlet
it1,its1_000000000-L2BNB_L1_R1.fastq.gz,its1_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,0.9,Inlet
it2,its2_000000000-L2BNB_L1_R1.fastq.gz,its2_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,0.9,Inlet
it3,its3_000000000-L2BNB_L1_R1.fastq.gz,its3_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,0.7,Inlet
it4,its4_000000000-L2BNB_L1_R1.fastq.gz,its4_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,1.4,Inlet
it5,its5_000000000-L2BNB_L1_R1.fastq.gz,its5_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,1.3,Inlet
it6,its6_000000000-L2BNB_L1_R1.fastq.gz,its6_000000000-L2BNB_L1_R2.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,Pocilloporidae,Pocillopora,acuta,21.954,120.753,20220316,0.9,Inlet
